,spotify_rank,song_name,artist,spotify_stream_count,peak_rank,previous_rank,streak_list,list_date
0,1,Heat Waves,Glass Animals,"934,726",1,1,446,03/16/2022
1,2,Super Gremlin,Kodak Black,"733,927",2,3,108,03/16/2022
2,3,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast","726,391",1,4,81,03/16/2022
3,4,Something In The Way,Nirvana,"723,210",2,2,11,03/16/2022
4,5,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber","679,258",1,5,251,03/16/2022
5,6,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow","627,307",1,6,237,03/16/2022
6,7,pushin P (feat. Young Thug),"Gunna, Future, Young Thug","605,894",2,7,69,03/16/2022
7,8,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends","599,948",7,9,130,03/16/2022
8,9,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat","594,003",2,10,195,03/16/2022
9,10,Sweetest Pie,"Megan Thee Stallion, Dua Lipa","581,359",2,8,6,03/16/2022
10,11,I Love You So,The Walters,"571,703",8,11,158,03/16/2022
11,12,Thinking with My Dick (feat. Juicy J),"Kevin Gates, Juicy J","543,029",12,12,9,03/16/2022
12,13,Need to Know,Doja Cat,"535,950",3,15,279,03/16/2022
13,14,Boyfriend,Dove Cameron,"530,323",10,13,34,03/16/2022
14,15,Woman,Doja Cat,"528,882",12,16,265,03/16/2022
15,16,Ghost,Justin Bieber,"526,571",13,14,81,03/16/2022
16,17,good 4 u,Olivia Rodrigo,"508,387",1,17,307,03/16/2022
17,18,THATS WHAT I WANT,Lil Nas X,"501,434",2,18,81,03/16/2022
18,19,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU","490,267",9,19,192,03/16/2022
19,20,Dark Red,Steve Lacy,"487,791",11,21,226,03/16/2022
20,21,abcdefu,GAYLE,"483,693",5,20,123,03/16/2022
21,22,No Role Modelz,J. Cole,"477,063",22,24,446,03/16/2022
22,23,Nail Tech,Jack Harlow,"474,686",2,22,27,03/16/2022
23,24,"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,"472,650",3,23,81,03/16/2022
24,25,505,Arctic Monkeys,"469,791",24,25,81,03/16/2022
25,26,Sweater Weather,The Neighbourhood,"451,403",18,26,557,03/16/2022
26,27,Shivers,Ed Sheeran,"443,606",6,30,188,03/16/2022
27,28,MAMIII,"Becky G, KAROL G","442,740",9,28,34,03/16/2022
28,29,Lost,Frank Ocean,"439,835",10,27,66,03/16/2022
29,30,Numb Little Bug,Em Beihold,"436,050",25,29,48,03/16/2022
30,31,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar","432,244",3,31,202,03/16/2022
31,32,Kiss Me More (feat. SZA),"Doja Cat, SZA","426,845",1,33,342,03/16/2022
32,33,Monëy so big,Yeat,"426,115",28,32,55,03/16/2022
33,34,Tom's Diner,"AnnenMayKantereit, Giant Rooks","410,552",34,49,5,03/16/2022
34,35,Easy On Me,Adele,"405,925",1,34,154,03/16/2022
35,36,Broadway Girls (feat. Morgan Wallen),"Lil Durk, Morgan Wallen","399,525",4,37,90,03/16/2022
36,37,Rocking A Cardigan in Atlanta,lil Shordie Scott,"396,794",27,38,23,03/16/2022
37,38,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran","390,479",17,35,13,03/16/2022
38,39,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G","388,818",6,39,152,03/16/2022
39,40,HANDSOMER (Remix) (Feat. Ktlyn),"Russ, Ktlyn","379,566",34,36,8,03/16/2022
40,41,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis","377,954",41,43,81,03/16/2022
41,42,MIDDLE OF THE NIGHT,Elley Duhé,"375,715",42,42,26,03/16/2022
42,43,One Right Now (with The Weeknd),"Post Malone, The Weeknd","372,318",1,45,81,03/16/2022
43,44,"I'm Tired - From ""Euphoria"" An HBO Original Series","Labrinth, Zendaya","371,138",3,40,17,03/16/2022
44,45,Notion,The Rare Occasions,"370,859",33,44,81,03/16/2022
45,46,Mount Everest,Labrinth,"370,230",32,41,38,03/16/2022
46,47,traitor,Olivia Rodrigo,"366,617",3,46,81,03/16/2022
47,48,Levitating (feat. DaBaby),"Dua Lipa, DaBaby","362,395",3,50,81,03/16/2022
48,49,NEW MAGIC WAND,"Tyler, The Creator","361,950",5,47,81,03/16/2022
49,50,P power (feat. Drake),"Gunna, Drake","359,759",10,54,62,03/16/2022
50,51,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby","357,897",2,57,81,03/16/2022
51,52,Happier Than Ever,Billie Eilish,"357,720",3,52,230,03/16/2022
52,53,Big Energy,Latto,"354,875",38,48,79,03/16/2022
53,54,The Family Madrigal,"Stephanie Beatriz, Olga Merediz, Encanto - Cast","353,272",10,58,80,03/16/2022
54,55,I Hate U,SZA,"350,316",1,55,104,03/16/2022
55,56,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole","349,083",8,59,206,03/16/2022
