,apple_rank,song_name,artist,albums,song_length,apple_date_retrieved
0,1,What Happened To Virgil (feat. Gunna),Lil Durk,7220,3:01,03/16/2022
1,2,AHHH HA,Lil Durk,7220,3:06,03/16/2022
2,3,Super Gremlin,Kodak Black,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,3:20,03/16/2022
3,4,No Interviews,Lil Durk,7220,2:59,03/16/2022
4,5,Petty Too (feat. Future),Lil Durk,7220,2:39,03/16/2022
5,6,Golden Child,Lil Durk,7220,1:54,03/16/2022
6,7,pushin P (feat. Young Thug),Gunna,DRIP SEASON 4EVER,2:16,03/16/2022
7,8,Barbarian,Lil Durk,7220,2:29,03/16/2022
8,9,Shootout @ My Crib,Lil Durk,7220,2:33,03/16/2022
9,10,Smoking & Thinking,Lil Durk,7220,2:27,03/16/2022
10,11,Headtaps,Lil Durk,7220,2:53,03/16/2022
11,12,Started From,Lil Durk,7220,2:01,03/16/2022
12,13,Computer Murderers,Lil Durk,7220,2:19,03/16/2022
13,14,Broadway Girls (feat. Morgan Wallen),Lil Durk,Broadway Girls (feat. Morgan Wallen) - Single,3:05,03/16/2022
14,15,Grow Up/Keep It On Speaker,Lil Durk,7220,3:16,03/16/2022
15,16,Blocklist,Lil Durk,7220,2:06,03/16/2022
16,17,Difference Is (feat. Summer Walker),Lil Durk,7220,3:13,03/16/2022
17,18,Thinking With My Dick (feat. Juicy J),Kevin Gates,Stranger Than Fiction,2:45,03/16/2022
18,19,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,Encanto (Original Motion Picture Soundtrack),3:36,03/16/2022
19,20,Blick Blick,Coi Leray,Blick Blick - Single,2:58,03/16/2022
20,21,Federal Nightmares,Lil Durk,7220,2:31,03/16/2022
21,22,P power (feat. Drake),Gunna,DRIP SEASON 4EVER,3:13,03/16/2022
22,23,Hrs and Hrs,Muni Long,Public Displays of Affection,3:24,03/16/2022
23,24,Knife Talk (feat. 21 Savage & Project Pat),Drake,Certified Lover Boy,4:02,03/16/2022
24,25,Banking On Me,Gunna,Banking On Me - Single,3:20,03/16/2022
25,26,Pissed Me Off,Lil Durk,7220,2:03,03/16/2022
26,27,Me or Sum (feat. Future & Lil Baby),Nardo Wick,Me or Sum (feat. Future & Lil Baby) - Single,3:45,03/16/2022
27,28,MAMIII,Becky G.,MAMIII - Single,3:46,03/16/2022
28,29,Sleazy Flow,SleazyWorld Go,Sleazy Flow - Single,1:52,03/16/2022
29,30,HANDSOMER (Remix) [feat. Ktlyn],Russ,HANDSOMER (Remix) [feat. Ktlyn] - Single,2:23,03/16/2022
30,31,Over,Lucky Daye,Over - Single,3:25,03/16/2022
31,32,Heat Waves,Glass Animals,Dreamland,3:58,03/16/2022
32,33,I Hate U,SZA,I Hate U - Single,2:54,03/16/2022
33,34,I Hate YoungBoy,YoungBoy Never Broke Again,I Hate YoungBoy - Single,4:21,03/16/2022
34,35,Sometimes,Juice WRLD,Fighting Demons (Digital Deluxe),4:19,03/16/2022
35,36,Don't Play That,King Von,What It Means To Be King,2:13,03/16/2022
36,37,Way 2 Sexy (feat. Future & Young Thug),Drake,Certified Lover Boy,4:17,03/16/2022
37,38,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage) - Single",4:39,03/16/2022
38,39,Do We Have A Problem?,Nicki Minaj,Do We Have A Problem? - Single,3:27,03/16/2022
39,40,Wants and Needs (feat. Lil Baby),Drake,Scary Hours 2,3:12,03/16/2022
40,41,Lost,Frank Ocean,channel ORANGE,3:54,03/16/2022
41,42,STAY,The Kid LAROI,STAY - Single,2:21,03/16/2022
42,43,Rumors (feat. Lil Durk),Gucci Mane,Rumors (feat. Lil Durk) - Single,3:05,03/16/2022
43,44,Rocking A Cardigan in Atlanta,LIL SHORDIE SCOTT,Rocking A Cardigan in Atlanta - Single,1:36,03/16/2022
