,artist_name,artist_ID
0,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Josh Levi, Topher Ngo, Grayson Villanueva",1
1,42 Dugg,2
2,Adele,3
3,"AnnenMayKantereit, Giant Rooks",4
4,Arctic Monkeys,5
5,Baby Keem,6
6,"Baby Keem, Kendrick Lamar",7
7,Bad Bunny,8
8,"Bad Bunny, Jhay Cortez",9
9,Bailey Zimmerman,10
10,Beach House,11
11,"Becky G, KAROL G",12
12,Becky G.,13
13,Billie Eilish,14
14,"Bruno Mars, Anderson .Paak, Silk Sonic",15
15,BØRNS,16
16,CKay,17
17,Cage The Elephant,18
18,"Camila Cabello, Ed Sheeran",19
19,Carolina Gaitán - La Gaita,20
20,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",21
21,Charlie Puth,22
22,Chief Keef,23
23,Childish Gambino,24
24,Chris Brown,25
25,Chris Stapleton,26
26,"Cochise, $NOT",27
27,Cody Johnson,28
28,Coi Leray,29
29,Coldplay,30
30,Corey Kent,31
31,DJ Khaled,32
32,DaBaby,33
33,Diane Guerrero,34
34,"Diane Guerrero, Stephanie Beatriz",35
35,Doja Cat,36
36,"Doja Cat, SZA",37
37,"Doja Cat, The Weeknd",38
38,Dove Cameron,39
39,"Dr. Dre, Snoop Dogg",40
40,Drake,41
41,"Drake, 21 Savage, Project Pat",42
42,"Drake, Future, Young Thug",43
43,"Drake, Lil Baby",44
44,"Drake, Travis Scott",45
45,"Dua Lipa, DaBaby",46
46,ERNEST,47
47,"ERNEST, Morgan Wallen",48
48,Ed Sheeran,49
49,Elley Duhé,50
50,Elton John,51
51,"Elton John, Dua Lipa, PNAU",52
52,Em Beihold,53
53,Eminem,54
54,"Eminem, Juice WRLD",55
55,"Eminem, Nate Dogg",56
56,"Eslabon Armado, DannyLux",57
57,Farruko,58
58,Fitz and The Tantrums,59
59,Fivio Foreign,60
60,"Fivio Foreign, Kanye West, Alicia Keys",61
61,Fleetwood Mac,62
62,Frank Ocean,63
63,Future,64
64,GAYLE,65
65,Glass Animals,66
66,Gucci Mane,67
67,"Gucci Mane, Lil Durk",68
68,Gunna,69
69,"Gunna, Drake",70
70,"Gunna, Future, Young Thug",71
71,Harry Styles,72
72,Ice Cube,73
73,Imagine Dragons,74
74,"Imagine Dragons, JID, Arcane, League of Legends",75
75,"J Balvin, Bad Bunny",76
76,J. Cole,77
77,"J. Cole, Cults, Amber Coffman",78
78,"JAY-Z, Kanye West",79
79,JVKE,80
80,Jack Harlow,81
81,Jaymes Young,82
82,Jessica Darrow,83
83,Joji,84
84,Jordan Davis,85
85,"Jordan Davis, Luke Bryan",86
86,Joy Again,87
87,Juice WRLD,88
88,"Juice WRLD, Marshmello",89
89,Justin Bieber,90
90,Kali Uchis,91
91,Kanye West,92
92,"Kanye West, Dwele",93
93,"Kanye West, Syleena Johnson",94
94,Kendrick Lamar,95
95,"Kendrick Lamar, Jay Rock",96
96,"Kendrick Lamar, Zacari",97
97,Kevin Gates,98
98,"Kevin Gates, Juicy J",99
99,Kid Cudi,100
100,"Kid Cudi, MGMT, Ratatat",101
101,King Von,102
102,"King Von, 21 Savage",103
103,Kodak Black,104
104,LIL SHORDIE SCOTT,105
105,Labrinth,106
106,"Labrinth, Zendaya",107
107,Latto,108
108,Lauren Spencer-Smith,109
109,Lil Baby,110
110,"Lil Baby, Drake",111
111,"Lil Baby, Gunna",112
112,Lil Durk,113
113,"Lil Durk, Future",114
114,"Lil Durk, Gunna",115
115,"Lil Durk, Morgan Wallen",116
116,Lil Nas X,117
117,"Lil Nas X, Jack Harlow",118
118,Lil Peep,119
119,Lil Uzi Vert,120
120,"Lil Uzi Vert, Oh Wonder",121
121,"Lil Uzi Vert, Pharrell Williams",122
122,Lord Huron,123
123,Lucky Daye,124
124,Mac Miller,125
125,"Machine Gun Kelly, Bring Me The Horizon",126
126,"Machine Gun Kelly, Lil Wayne",127
127,"Machine Gun Kelly, blackbear",128
128,Meek Mill,129
