,spotify_rank,apple_rank,spotify_list_date,apple_date_retrieved,song_ID
0,1.0,32.0,03/16/2022,03/20/2022,88
1,2.0,3.0,03/16/2022,03/20/2022,192
2,3.0,19.0,03/16/2022,03/20/2022,221
3,4.0,52.0,03/16/2022,03/20/2022,183
4,5.0,,03/16/2022,,167
5,6.0,,03/16/2022,,98
6,7.0,7.0,03/16/2022,03/20/2022,250
7,8.0,,03/16/2022,,59
8,9.0,,03/16/2022,,105
9,10.0,54.0,03/16/2022,03/20/2022,196
10,11.0,,03/16/2022,,94
11,12.0,,03/16/2022,,209
12,13.0,,03/16/2022,,136
13,14.0,,03/16/2022,,27
14,15.0,,03/16/2022,,230
15,16.0,78.0,03/16/2022,03/20/2022,76
16,17.0,,03/16/2022,,245
17,18.0,,03/16/2022,,197
18,19.0,,03/16/2022,,39
19,20.0,,03/16/2022,,45
20,21.0,58.0,03/16/2022,03/20/2022,239
21,22.0,61.0,03/16/2022,03/20/2022,143
22,23.0,53.0,03/16/2022,03/20/2022,134
23,24.0,,03/16/2022,,194
24,25.0,,03/16/2022,,6
25,26.0,,03/16/2022,,195
26,27.0,81.0,03/16/2022,03/20/2022,174
27,28.0,28.0,03/16/2022,03/20/2022,119
28,29.0,41.0,03/16/2022,03/20/2022,114
29,30.0,,03/16/2022,,146
30,31.0,,03/16/2022,,243
31,32.0,,03/16/2022,,103
32,33.0,89.0,03/16/2022,03/20/2022,129
33,34.0,,03/16/2022,,210
34,35.0,47.0,03/16/2022,03/20/2022,57
35,36.0,14.0,03/16/2022,03/20/2022,28
36,37.0,44.0,03/16/2022,03/20/2022,163
37,38.0,,03/16/2022,,16
38,39.0,,03/16/2022,,20
39,40.0,,03/16/2022,,82
40,41.0,,03/16/2022,,171
41,42.0,,03/16/2022,,121
42,43.0,,03/16/2022,,148
43,44.0,,03/16/2022,,96
44,45.0,,03/16/2022,,145
45,46.0,,03/16/2022,,130
46,47.0,,03/16/2022,,255
47,48.0,,03/16/2022,,108
48,49.0,,03/16/2022,,133
49,50.0,22.0,03/16/2022,03/20/2022,151
50,51.0,40.0,03/16/2022,03/20/2022,215
51,52.0,,03/16/2022,,85
52,53.0,,03/16/2022,,21
53,54.0,62.0,03/16/2022,03/20/2022,200
54,55.0,33.0,03/16/2022,03/20/2022,92
55,56.0,,03/16/2022,,126
56,57.0,73.0,03/16/2022,03/20/2022,68
57,58.0,,03/16/2022,,182
58,59.0,,03/16/2022,,251
59,60.0,79.0,03/16/2022,03/20/2022,23
60,61.0,2.0,03/16/2022,03/20/2022,7
61,62.0,82.0,03/16/2022,03/20/2022,75
62,63.0,,03/16/2022,,220
63,64.0,,03/16/2022,,87
64,65.0,,03/16/2022,,158
65,66.0,,03/16/2022,,3
66,67.0,70.0,03/16/2022,03/20/2022,217
67,68.0,,03/16/2022,,237
68,69.0,25.0,03/16/2022,03/20/2022,17
69,70.0,,03/16/2022,,191
70,71.0,,03/16/2022,,241
71,72.0,,03/16/2022,,109
72,73.0,,03/16/2022,,15
73,74.0,,03/16/2022,,234
74,75.0,,03/16/2022,,128
75,76.0,,03/16/2022,,160
76,77.0,,03/16/2022,,185
77,78.0,,03/16/2022,,44
78,79.0,,03/16/2022,,72
79,80.0,,03/16/2022,,206
80,81.0,,03/16/2022,,34
81,82.0,,03/16/2022,,147
82,83.0,83.0,03/16/2022,03/20/2022,152
83,84.0,,03/16/2022,,157
84,85.0,,03/16/2022,,118
85,86.0,,03/16/2022,,131
86,87.0,,03/16/2022,,73
87,88.0,66.0,03/16/2022,03/20/2022,236
88,89.0,,03/16/2022,,9
89,90.0,,03/16/2022,,4
90,91.0,,03/16/2022,,177
91,92.0,,03/16/2022,,102
92,93.0,,03/16/2022,,26
93,94.0,27.0,03/16/2022,03/20/2022,125
94,95.0,,03/16/2022,,13
