,song_name,song_ID,artist_ID,album_ID,song_length
0,'Til You Can't,1,28.0,33.0,3:44
1,'Till I Collapse,2,56.0,,
2,20 Min,3,120.0,,
3,2055,4,158.0,,
4,25k jacket (feat. Lil Baby),5,,18.0,2:00
5,505,6,5.0,,
6,AHHH HA,7,113.0,4.0,3:06
7,Ain't Shit,8,36.0,,
8,Alien Blues,9,186.0,,
9,All Falls Down,10,94.0,,
10,All Falls Down (feat. Syleena Johnson),11,,62.0,3:43
11,All For Us,12,107.0,,
12,All Girls Are The Same,13,88.0,,
13,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),14,169.0,,
14,Bad Habits,15,49.0,,
15,Bam Bam (feat. Ed Sheeran),16,19.0,,
16,Banking On Me,17,69.0,8.0,3:20
17,Barbarian,18,,4.0,2:29
18,Bestie,19,,6.0,1:51
19,Better Days (NEIKED x Mae Muller x Polo G),20,134.0,,
20,Big Energy,21,108.0,,
21,Blick Blick,22,,9.0,2:58
22,Blinding Lights,23,176.0,10.0,3:21
23,Blocklist,24,,4.0,2:06
24,Bones,25,74.0,,
25,Bound 2,26,92.0,,
26,Boyfriend,27,39.0,,
27,Broadway Girls (feat. Morgan Wallen),28,116.0,11.0,3:05
28,Buy Dirt,29,86.0,,
29,Buy Dirt (feat. Luke Bryan),30,,12.0,2:47
30,By Your Side,31,152.0,13.0,3:14
31,Chasin' You,32,,38.0,3:25
32,Cigarette Daydreams,33,18.0,,
33,Cigarettes,34,88.0,,
34,Circles,35,147.0,,
35,City of Gods,36,61.0,15.0,4:16
36,Cold December,37,,16.0,3:12
37,Cold Heart (PNAU Remix),38,,17.0,3:22
38,Cold Heart - PNAU Remix,39,52.0,,
39,Come & Go (with Marshmello),40,89.0,,
40,Computer Murderers,41,,4.0,2:19
41,Cover Me Up,42,132.0,,
42,Daddy Issues,43,173.0,,
43,Dandelions,44,155.0,,
44,Dark Red,45,161.0,,
45,Desesperados,46,150.0,,
46,Die For You,47,176.0,,
47,Difference Is (feat. Summer Walker),48,,4.0,3:13
48,Do We Have A Problem?,49,,20.0,3:27
49,Don't Play That,50,103.0,64.0,2:13
50,Dreams - 2004 Remaster,51,62.0,,
51,Drip Too Hard,52,,22.0,2:25
52,Drip Too Hard (Lil Baby & Gunna),53,112.0,,
53,DÁKITI,54,9.0,23.0,3:25
54,EARFQUAKE,55,182.0,,
55,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),56,,41.0,3:56
56,Easy On Me,57,3.0,3.0,3:44
57,Electric Love,58,16.0,,
58,Enemy (with JID) - from the series Arcane League of Legends,59,75.0,,
59,Eventually,60,167.0,,
60,Evil Twins,61,,64.0,1:55
61,Fair Trade (feat. Travis Scott),62,,14.0,4:51
62,Fair Trade (with Travis Scott),63,45.0,,
63,Fall In Love,64,,27.0,3:52
64,Fancy Like,65,188.0,,
65,Father Stretch My Hands Pt. 1,66,92.0,,
66,Federal Nightmares,67,,4.0,2:31
67,Fingers Crossed,68,109.0,29.0,2:55
68,Flashing Lights,69,93.0,,
69,Flower Shops (feat. Morgan Wallen),70,48.0,26.0,3:34
70,For The Night (feat. Lil Baby & DaBaby),71,,55.0,3:10
71,Freaks,72,163.0,,
72,Freaky Deaky,73,181.0,,
73,Fuck Love (feat. Trippie Redd),74,190.0,,
74,Get Into It (Yuh),75,36.0,49.0,2:18
75,Ghost,76,90.0,40.0,2:33
76,Girls Want Girls (feat. Lil Baby),77,,14.0,3:41
77,Godzilla (feat. Juice WRLD),78,55.0,,
78,Golden Child,79,,4.0,1:54
79,Good Days,80,156.0,,
80,Grow Up/Keep It On Speaker,81,,4.0,3:16
81,HANDSOMER (Remix) (Feat. Ktlyn),82,154.0,,
82,HANDSOMER (Remix) [feat. Ktlyn],83,,31.0,2:23
83,HUMBLE.,84,95.0,,
84,Happier Than Ever,85,14.0,,
85,Headtaps,86,,4.0,2:53
86,Heartless,87,92.0,,
87,Heat Waves,88,66.0,21.0,3:58
88,Heavy,89,,32.0,3:20
89,Hope,90,189.0,,
90,Hrs and Hrs,91,133.0,50.0,3:24
91,I Hate U,92,156.0,34.0,2:54
92,I Hate YoungBoy,93,,35.0,4:21
93,I Love You So,94,175.0,,
94,"I'm Tired (From ""Euphoria"" An Original HBO Series)",95,,36.0,3:07
95,"I'm Tired - From ""Euphoria"" An HBO Original Series",96,107.0,,
96,INDUSTRY BABY,97,,37.0,3:32
